start	end	text
0	2640	Spending your entire life in space.
2640	6880	If there's another planet suitable for humans, it will be quite a long journey to get there.
6880	13680	Even traveling at 1% of the speed of light, it would still take 10,000 years to go only 100 light years.
13680	18400	This means that the people who get on an interstellar spaceship will not be the ones who arrive.
18400	22960	Such a ship requires everything needed for a journey lasting thousands of years,
22960	25440	meaning you have to take everything on board.
25440	31520	New parts for repairs, food, and even new crew to replace you when you die.
31520	36160	Hundreds of generations may live and die knowing only a spaceship is their home.
36160	38880	You might be okay with leaving Earth never to return,
38880	43120	but that means you're making the same decision for your children and grandchildren.
43120	44320	Is that ethical?
44320	49600	Imagine if your entire purpose in life was to just maintain the life support systems on a spaceship
49600	52880	so that one day your descendants could see a new world.
52880	57200	Would you be okay with someone deciding before you're born that you're going to be...
